ID	Bacteria	Genus	Gram_Stain
AgProtect_2300	Mycobacterium_tuberculosis	Mycobacterium	Positive_with_OM
AgProtect_999	Streptococcus_uberis	Streptococcus	Positive
AgProtect_998	Borreliella_garinii	Borreliella	Negative
AgProtect_997	Borreliella_garinii	Borreliella	Negative
AgProtect_996	Borreliella_garinii	Borreliella	Negative
AgProtect_995	Mycobacterium_kansasii	Mycobacterium	Positive_with_OM
AgProtect_994	Mycobacterium_marinum	Mycobacterium	Positive_with_OM
AgProtect_993	Burkholderia_cenocepacia	Burkholderia	Negative
AgProtect_992	Ornithobacterium_rhinotracheale	Ornithobacterium	Negative
AgProtect_991	Leptospira_interrogans	Leptospira	Negative
AgProtect_990	Bartonella_bacilliformis	Bartonella	Negative
AgProtect_99	Brucella_abortus	Brucella	Negative
AgProtect_989	Bartonella_bacilliformis	Bartonella	Negative
AgProtect_988	Yersinia_enterocolitica	Yersinia	Negative
AgProtect_987	Yersinia_enterocolitica	Yersinia	Negative
AgProtect_986	Yersinia_enterocolitica	Yersinia	Negative
AgProtect_985	Acinetobacter_baumannii	Acinetobacter	Negative
AgProtect_984	Acinetobacter_baumannii	Acinetobacter	Negative
AgProtect_983	Borrelia_miyamotoi	Borrelia	Negative
AgProtect_982	Borrelia_miyamotoi	Borrelia	Negative
AgProtect_981	Borrelia_miyamotoi	Borrelia	Negative
AgProtect_980	Borrelia_miyamotoi	Borrelia	Negative
AgProtect_98	Brucella_abortus	Brucella	Negative
AgProtect_979	Borrelia_miyamotoi	Borrelia	Negative
AgProtect_978	Borrelia_miyamotoi	Borrelia	Negative
AgProtect_977	Borrelia_miyamotoi	Borrelia	Negative
AgProtect_976	Borrelia_miyamotoi	Borrelia	Negative
AgProtect_975	Acinetobacter_baumannii	Acinetobacter	Negative
AgProtect_974	Actinobacillus_pleuropneumoniae	Actinobacillus	Negative
AgProtect_973	Acinetobacter_baumannii	Acinetobacter	Negative
AgProtect_972	Escherichia_coli	Escherichia	Negative
AgProtect_971	Escherichia_coli	Escherichia	Negative
AgProtect_970	Escherichia_coli	Escherichia	Negative
AgProtect_97	Brucella_melitensis	Brucella	Negative
AgProtect_969	Escherichia_coli	Escherichia	Negative
AgProtect_968	Escherichia_coli	Escherichia	Negative
AgProtect_967	Escherichia_coli	Escherichia	Negative
AgProtect_966	Escherichia_coli	Escherichia	Negative
AgProtect_965	Escherichia_coli	Escherichia	Negative
AgProtect_964	Escherichia_coli	Escherichia	Negative
AgProtect_963	Escherichia_coli	Escherichia	Negative
AgProtect_962	Escherichia_coli	Escherichia	Negative
AgProtect_961	Escherichia_coli	Escherichia	Negative
AgProtect_960	Escherichia_coli	Escherichia	Negative
AgProtect_96	Brucella_melitensis	Brucella	Negative
AgProtect_959	Erysipelothrix_rhusiopathiae	Erysipelothrix	Positive
AgProtect_958	Erysipelothrix_rhusiopathiae	Erysipelothrix	Positive
AgProtect_957	Erysipelothrix_rhusiopathiae	Erysipelothrix	Positive
AgProtect_956	Erysipelothrix_rhusiopathiae	Erysipelothrix	Positive
AgProtect_955	Corynebacterium_diphtheriae	Corynebacterium	Positive_with_OM
AgProtect_954	Clostridium_perfringens	Clostridium	Positive
AgProtect_953	Clostridium_perfringens	Clostridium	Positive
AgProtect_952	Mycobacterium_tuberculosis	Mycobacterium	Positive_with_OM
AgProtect_951	Clostridium_perfringens	Clostridium	Positive
AgProtect_950	Clostridium_perfringens	Clostridium	Positive
AgProtect_95	Brucella_melitensis	Brucella	Negative
AgProtect_949	Clostridium_perfringens	Clostridium	Positive
AgProtect_948	Clostridium_perfringens	Clostridium	Positive
AgProtect_947	Clostridium_botulinum	Clostridium	Positive
AgProtect_946	Clostridium_botulinum	Clostridium	Positive
AgProtect_945	Clostridium_botulinum	Clostridium	Positive
AgProtect_944	Clostridium_botulinum	Clostridium	Positive
AgProtect_943	Clostridium_botulinum	Clostridium	Positive
AgProtect_942	Clostridium_botulinum	Clostridium	Positive
AgProtect_941	Chlamydia_psittaci	Chlamydia	Negative
AgProtect_940	Chlamydia_psittaci	Chlamydia	Negative
AgProtect_94	Borreliella_burgdorferi	Borreliella	Negative
AgProtect_939	Chlamydia_psittaci	Chlamydia	Negative
AgProtect_938	Chlamydia_trachomatis	Chlamydia	Negative
AgProtect_937	Chlamydia_trachomatis	Chlamydia	Negative
AgProtect_936	Campylobacter_jejuni	Campylobacter	Negative
AgProtect_935	Campylobacter_jejuni	Campylobacter	Negative
AgProtect_934	Campylobacter_jejuni	Campylobacter	Negative
AgProtect_933	Campylobacter_jejuni	Campylobacter	Negative
AgProtect_932	Campylobacter_lari	Campylobacter	Negative
AgProtect_931	Campylobacter_jejuni	Campylobacter	Negative
AgProtect_930	Campylobacter_jejuni	Campylobacter	Negative
AgProtect_93	Neisseria_meningitidis	Neisseria	Negative
AgProtect_929	Campylobacter_jejuni	Campylobacter	Negative
AgProtect_928	Campylobacter_jejuni	Campylobacter	Negative
AgProtect_927	Campylobacter_jejuni	Campylobacter	Negative
AgProtect_926	Campylobacter_jejuni	Campylobacter	Negative
AgProtect_925	Campylobacter_jejuni	Campylobacter	Negative
AgProtect_924	Campylobacter_jejuni	Campylobacter	Negative
AgProtect_923	Campylobacter_jejuni	Campylobacter	Negative
