ID	Bacteria	Host
AgProtect_2300	Mycobacterium_tuberculosis	Homo_sapiens;Sus_scrofa;Canis_familiaris;Cavia_porcellus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_999	Streptococcus_uberis	Bos_taurus
AgProtect_998	Borreliella_garinii	Homo_sapiens
AgProtect_997	Borreliella_garinii	Homo_sapiens
AgProtect_996	Borreliella_garinii	Homo_sapiens
AgProtect_995	Mycobacterium_kansasii	Homo_sapiens;Bos_taurus;Sus_scrofa;Felis_silvestris_catus;Pan_troglodytes;Macaca_mulatta
AgProtect_994	Mycobacterium_marinum	Homo_sapiens;Dicentrarchus_labrax;Danio_rerio;Cyprinus_carpio;Morone_saxatilis
AgProtect_993	Burkholderia_cenocepacia	Homo_sapiens
AgProtect_992	Ornithobacterium_rhinotracheale	Gallus_gallus;Meleagris_gallopavo_domesticus
AgProtect_991	Leptospira_interrogans	Homo_sapiens;Canis_familiaris;Sus_scrofa;Equus_ferus_caballus;Bos_taurus
AgProtect_990	Bartonella_bacilliformis	Homo_sapiens
AgProtect_99	Brucella_abortus	Homo_sapiens;Mus_musculus;Ovis_orientalis_aries;Capra_aegagrus_hircus;Bos_taurus;Equus_ferus_caballus
AgProtect_989	Bartonella_bacilliformis	Homo_sapiens
AgProtect_988	Yersinia_enterocolitica	Homo_sapiens;Sus_scrofa;Bos_taurus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_987	Yersinia_enterocolitica	Homo_sapiens;Sus_scrofa;Bos_taurus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_986	Yersinia_enterocolitica	Homo_sapiens;Sus_scrofa;Bos_taurus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_985	Acinetobacter_baumannii	Homo_sapiens
AgProtect_984	Acinetobacter_baumannii	Homo_sapiens
AgProtect_983	Borrelia_miyamotoi	Homo_sapiens
AgProtect_982	Borrelia_miyamotoi	Homo_sapiens
AgProtect_981	Borrelia_miyamotoi	Homo_sapiens
AgProtect_980	Borrelia_miyamotoi	Homo_sapiens
AgProtect_98	Brucella_abortus	Homo_sapiens;Mus_musculus;Ovis_orientalis_aries;Capra_aegagrus_hircus;Bos_taurus;Equus_ferus_caballus
AgProtect_979	Borrelia_miyamotoi	Homo_sapiens
AgProtect_978	Borrelia_miyamotoi	Homo_sapiens
AgProtect_977	Borrelia_miyamotoi	Homo_sapiens
AgProtect_976	Borrelia_miyamotoi	Homo_sapiens
AgProtect_975	Acinetobacter_baumannii	Homo_sapiens
AgProtect_974	Actinobacillus_pleuropneumoniae	Sus_scrofa
AgProtect_973	Acinetobacter_baumannii	Homo_sapiens
AgProtect_972	Escherichia_coli	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Bos_taurus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_971	Escherichia_coli	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Bos_taurus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_970	Escherichia_coli	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Bos_taurus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_97	Brucella_melitensis	Homo_sapiens;Ovis_orientalis_aries;Capra_aegagrus_hircus
AgProtect_969	Escherichia_coli	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Bos_taurus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_968	Escherichia_coli	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Bos_taurus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_967	Escherichia_coli	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Bos_taurus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_966	Escherichia_coli	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Bos_taurus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_965	Escherichia_coli	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Bos_taurus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_964	Escherichia_coli	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Bos_taurus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_963	Escherichia_coli	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Bos_taurus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_962	Escherichia_coli	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Bos_taurus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_961	Escherichia_coli	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Bos_taurus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_960	Escherichia_coli	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Bos_taurus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_96	Brucella_melitensis	Homo_sapiens;Ovis_orientalis_aries;Capra_aegagrus_hircus
AgProtect_959	Erysipelothrix_rhusiopathiae	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Meleagris_gallopavo_domesticus
AgProtect_958	Erysipelothrix_rhusiopathiae	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Meleagris_gallopavo_domesticus
AgProtect_957	Erysipelothrix_rhusiopathiae	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Meleagris_gallopavo_domesticus
AgProtect_956	Erysipelothrix_rhusiopathiae	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Meleagris_gallopavo_domesticus
AgProtect_955	Corynebacterium_diphtheriae	Homo_sapiens
AgProtect_954	Clostridium_perfringens	Homo_sapiens;Gallus_gallus;Equus_ferus_caballus;Sus_scrofa;Bos_taurus;Canis_familiaris
