ID	Mean_Schneider_Entropy	Strain_count	Cluster_Number	Conservation	Conservation_Results
WP_330934796	0.0160288661882868	95	3808	0.983971133811713	Conservation Score > 0.95, more than 90% of the strains
WP_072075904	0.221459260309071	92	1190	0.778540739690929	Conservation Score < 0.80, more than 90% of the strains
WP_330935683	0.0138225407696474	91	765	0.986177459230353	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00005	0	1	5165	1	Conservation Score > 0.95, less than 90% of the strains
HBL79_RS00010	0.0302561314444325	95	4415	0.969743868555567	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00015	0	95	5818	1	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00020	0.00306003170220384	88	870	0.996939968297796	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00025	0.000854613615772039	88	1421	0.999145386384228	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00030	0.0105282700062843	95	1484	0.989471729993716	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00035	0.00170204545683739	86	2790	0.998297954543163	Conservation Score > 0.95, less than 90% of the strains
HBL79_RS00040	0.0161194865624154	95	2702	0.983880513437585	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00045	0.00601686420638323	86	969	0.993983135793617	Conservation Score > 0.95, less than 90% of the strains
HBL79_RS00050	0.194569499651164	96	245	0.805430500348836	Conservation Score > 0.80, more than 90% of the strains
HBL79_RS00055	0.00177066309449526	88	4433	0.998229336905505	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00060	0.046942389045412	87	1795	0.953057610954588	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00065	0.00851244174413155	94	2041	0.991487558255868	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00070	0.0099493997812379	95	4434	0.990050600218762	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00075	0.0133636345900291	95	3069	0.986636365409971	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00080	0.0024021813674077	88	3663	0.997597818632592	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00085	0.00450381423252947	88	3768	0.995496185767471	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00090	0.0133783637778761	88	3710	0.986621636222124	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00095	0.002919497495286	87	365	0.997080502504714	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00100	0.00236381756056968	85	2028	0.99763618243943	Conservation Score > 0.95, less than 90% of the strains
HBL79_RS00105	0.000815438954273299	87	1664	0.999184561045727	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00110	0.195669370266116	94	2029	0.804330629733884	Conservation Score > 0.80, more than 90% of the strains
HBL79_RS00115	0.0306263497044296	4	3627	0.96937365029557	Conservation Score > 0.95, less than 90% of the strains
HBL79_RS00120	0.0116182508706135	94	48	0.988381749129387	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00125	0.00552570512594721	92	1410	0.994474294874053	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00135	0.0527362566256727	85	1089	0.947263743374327	Conservation Score > 0.80, less than 90% of the strains
HBL79_RS00140	0.00425523368883192	88	3191	0.995744766311168	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00145	0.0141322987429585	94	1060	0.985867701257041	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00150	0.00166191230642571	94	1411	0.998338087693574	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00155	0.14504893610456	89	1843	0.85495106389544	Conservation Score > 0.80, more than 90% of the strains
HBL79_RS00160	0.198554532667299	96	427	0.801445467332701	Conservation Score > 0.80, more than 90% of the strains
HBL79_RS00165	0.070376322452919	18	2693	0.929623677547081	Conservation Score > 0.80, less than 90% of the strains
HBL79_RS00170	0.00656150964822923	95	3122	0.993438490351771	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00175	0.0363738662264956	95	1914	0.963626133773504	Conservation Score > 0.95, more than 90% of the strains
HBL79_RS00180	0.00725572204903653	95	3335	0.992744277950963	Conservation Score > 0.95, more than 90% of the strains
