ID	PSSM-Id	CD_short_name	CD_description	COG_IdentityPercent	COG.Evalue	COG.Bitscore	COG	COG_category	COG_category_u	COG_color	COG_category_description	Type_of_Protein	Inside_cell_or_cytosol	Periplasm	Outside_cell	Beta_sheet_TM	Alpha_helix_TM	SignalPeptideNumber	Essential.Homologue	Essential.IdentityPercent	Essential.Evalue	Essential.Bitscore	EssentialProtein	MW	Isoelectric_Point	Inclussion_Bodies_Probability	Isoelectric_Point2	MW2	Virulence.Homologue	Virulence.IdentityPercent	Virulence.Evalue	Virulence.Bitscore	VirulenceFactor	Host.Homologue	Host.IdentityPercent	Host.Evalue	Host.Bitscore	Host	Host_Homologue_Result	Description	Strain	Genus	Gram_Stain	SubcellularLocalization	Exposition	SignalPeptide	AdhesinProbability	AdhesinProbability2	AntigenicityResult
WP_000088605	224228	AcrR	DNA-binding_transcriptional_regulator,_AcrR_family_[Transcription].	26.582	1.88e-10	55.3	COG1309	K	K	FCDCEC	Transcription	GLOB	1	0	0	0	0	0	DEG10450343	39.904	4.41e-48	156	Essential	23354.68	6.0247	0.681	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_tetracycline_resistance_transcriptional_repressor_TetR(B)_[Bacteria]	GCF_015354785.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.26832	Non-Adhesin	NON-ANTIGEN
WP_000460651	-	-	-	-	-	-	-	-	-	-	-	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	13818.06	5.5687	0.594	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_hypothetical_protein_[Proteobacteria]	GCF_015354785.1	Avibacterium	Negative	CytoplasmicMembrane	Inside the cell	OTHER	0.466864	Non-Adhesin	NON-ANTIGEN
WP_000480968	226100	StrB	Streptomycin_6-kinase__[Defense_mechanisms].	43.682	4.64e-88	260	COG3570	V	V	FCFCBC	Defense_mechanisms	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	30823.99	4.6579	0.767	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_aminoglycoside_O-phosphotransferase_APH(6)-Id_[Bacteria]	GCF_015354785.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.353792	Non-Adhesin	NON-ANTIGEN
WP_000557452	225351	YokD	Aminoglycoside_N3'-acetyltransferase__[Defense_mechanisms].	32.841	7e-41	139	COG2746	V	V	FCFCBC	Defense_mechanisms	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	30608.75	6.4098	0.378	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_aminoglycoside_N-acetyltransferase_AAC(3)-IIe_[Bacteria]	GCF_015354785.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.422046	Non-Adhesin	NON-ANTIGEN
WP_000562370	-	-	-	-	-	-	-	-	-	-	-	GLOB	1	0	0	0	0	0	DEG10470156	32.323	1.4e-13	60.8	Essential	12500.28	6.4841	0.695	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_antibiotic_biosynthesis_monooxygenase_[Proteobacteria]	GCF_015354785.1	Avibacterium	Negative	Unknown	Unknown	OTHER	0.359432	Non-Adhesin	NON-ANTIGEN
WP_000599533	223857	GltS	Na+/glutamate_symporter_[Amino_acid_transport_and_metabolism].	54.453	2.98e-142	408	COG0786	E	E	DCFCFC	Amino_acid_transport_and_metabolism	TM	5	0	6	0	10	0	-	-	-	-	Non Essential	42717.21	7.9827	0.306	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_sodium/glutamate_symporter_[Proteobacteria]	GCF_015354785.1	Avibacterium	Negative	CytoplasmicMembrane	Inside the cell	OTHER	0.471665	Non-Adhesin	NON-ANTIGEN
WP_001043260	223371	FolP	Dihydropteroate_synthase_[Coenzyme_transport_and_metabolism].	39.098	6e-53	170	COG0294	H	H	DCDCFC	Coenzyme_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10070125	28.041	9.67e-27	105	Essential	28469.54	6.2628	0.329	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_sulfonamide-resistant_dihydropteroate_synthase_Sul2_[Bacteria]	GCF_015354785.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.154704	Non-Adhesin	NON-ANTIGEN
WP_001082319	225771	Aph	Aminoglycoside_phosphotransferase__[Translation,_ribosomal_structure_and_biogenesis].	35.317	2.4e-65	202	COG3231	J	J	FCCCFC	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10530228	36.078	1.01e-26	103	Essential	29586.61	4.6174	0.625	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_aminoglycoside_O-phosphotransferase_APH(3'')-Ib_[Bacteria]	GCF_015354785.1	Avibacterium	Negative	CytoplasmicMembrane	Inside the cell	OTHER	0.290993	Non-Adhesin	NON-ANTIGEN
WP_001089068	-	-	-	-	-	-	-	-	-	-	-	TM	7	0	6	0	12	0	DEG10450344	40.108	3.44e-80	251	Essential	43237.18	7.4173	0.266	< 8	< 50 kDa	VFG045330(gb|YP_095353)	29.333	1.07e-09	56.6	Probable Virulence Factor	XP_025006086.1	26.471	3.53e-14	74.7	Gallus gallus	Host Homologue	MULTISPECIES:_tetracycline_efflux_MFS_transporter_Tet(B)_[Proteobacteria]	GCF_015354785.1	Avibacterium	Negative	CytoplasmicMembrane	Inside the cell	OTHER	0.465068	Non-Adhesin	NON-ANTIGEN
WP_001181005	223129	RpsJ	Ribosomal_protein_S10_[Translation,_ribosomal_structure_and_biogenesis].	74.51	2.28e-58	172	COG0051	J	J	FCCCFC	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10340482	57.143	4e-36	117	Essential	11766.6	10.5424	0.472	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	XP_428540.3	28.713	8.05e-11	55.5	Gallus gallus	Host Homologue	MULTISPECIES:_30S_ribosomal_protein_S10_[Bacteria]	GCF_015354785.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.260728	Non-Adhesin	NON-ANTIGEN
WP_001284954	223713	ArsR	DNA-binding_transcriptional_regulator,_ArsR_family_[Transcription].	32.258	1.14e-13	62.5	COG0640	K	K	FCDCEC	Transcription	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	25296.21	8.7101	0.251	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_winged_helix-turn-helix_domain-containing_protein_[Proteobacteria]	GCF_015354785.1	Avibacterium	Negative	Unknown	Unknown	OTHER	0.254613	Non-Adhesin	NON-ANTIGEN
WP_001363157	223128	TufB	Translation_elongation_factor_EF-Tu,_a_GTPase_[Translation,_ribosomal_structure_and_biogenesis].	96.97	3.2e-21	79.6	COG0050	J	J	FCCCFC	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10140150	78.125	8.33e-12	55.8	Essential	3605.13	10.3201	0.455	> 8	< 50 kDa	VFG046465(gb|YP_169203.1)	93.939	9.47e-17	67.4	Probable Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_GTP-binding_protein,_partial_[Gammaproteobacteria]	GCF_015354785.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	-	Unknown	ANTIGEN
