ID	COG_ID	COG_categories	COG	General_Functional_Category	COG_category_description	Type_of_Protein	Inside_cell_or_cytosol	Periplasm	Outside_cell	Beta_sheet_TM	Alpha_helix_TM	SignalPeptideNumber	Essential.Homologue	Essential.IdentityPercent	Essential.Evalue	Essential.Bitscore	EssentialProtein	MW	Isoelectric_Point	Inclussion_Bodies_Probability	Isoelectric_Point2	MW2	Virulence.Homologue	Virulence.IdentityPercent	Virulence.Evalue	Virulence.Bitscore	VirulenceFactor	VF_ID	VFCID	VFcategory	Host.Homologue	Host.IdentityPercent	Host.Evalue	Host.Bitscore	Host	Host_Homologue_Result	Description	Strain	Genus	Gram_Stain	Bacteria	SubcellularLocalization	Exposition	SignalPeptide	AdhesinProbability	AdhesinProbability2	AntigenicityResult
WP_000088605	COG1309	K	K	INFORMATION_STORAGE_AND_PROCESSING	Transcription	GLOB	1	0	0	0	0	0	DEG10450343	39.904	4.41e-48	156	Essential	23354.68	6.0247	0.681	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_tetracycline_resistance_transcriptional_repressor_TetR(B)_[Bacteria]	GCF_000221945.2	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.26832	Non-Adhesin	NON-ANTIGEN
WP_000275180	COG2207	K	K	INFORMATION_STORAGE_AND_PROCESSING	Transcription	GLOB	1	0	0	0	0	0	DEG10180257	46.465	1.05e-28	101	Essential	16774.42	10.4224	0.852	> 8	< 50 kDa	VFG000421(gb|NP_395427.1)	39.45	7.52e-17	72	Probable Virulence Factor	VFG000421	VFC0258	Immune modulation	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_AraC_family_transcriptional_regulator_[Proteobacteria]	GCF_000221945.2	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.367815	Non-Adhesin	NON-ANTIGEN
WP_000428546	COG1309	K	K	INFORMATION_STORAGE_AND_PROCESSING	Transcription	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	22746.29	8.6633	0.355	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_tetracyline_resistance-associated_transcriptional_repressor_TetC_[Proteobacteria]	GCF_000221945.2	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.526149	Non-Adhesin	NON-ANTIGEN
WP_000460651	COG4747	R	R	POORLY_CHARACTERIZED	General_function_prediction_only	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	13818.06	5.5687	0.594	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_hypothetical_protein_[Proteobacteria]	GCF_000221945.2	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.483378	Non-Adhesin	NON-ANTIGEN
WP_000562370	COG2329	H	H	METABOLISM	Coenzyme_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10470156	32.323	1.4e-13	60.8	Essential	12500.28	6.4841	0.695	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_antibiotic_biosynthesis_monooxygenase_[Proteobacteria]	GCF_000221945.2	Avibacterium	Negative	Avibacterium_paragallinarum	Unknown	Unknown	OTHER	0.359432	Non-Adhesin	NON-ANTIGEN
WP_000599533	COG0786	E	E	METABOLISM	Amino_acid_transport_and_metabolism	TM	5	0	6	0	10	0	-	-	-	-	Non Essential	42717.21	7.9827	0.306	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_sodium/glutamate_symporter_[Proteobacteria]	GCF_000221945.2	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.471665	Non-Adhesin	NON-ANTIGEN
WP_001089072	COG2814	G	G	METABOLISM	Carbohydrate_transport_and_metabolism	TM	7	0	6	0	12	0	DEG10450344	40.108	1.99e-80	251	Essential	43267.21	7.4173	0.266	< 8	< 50 kDa	VFG045330(gb|YP_095353)	29.333	1.17e-09	56.6	Probable Virulence Factor	VFG045330	VFC0272	Nutritional/Metabolic factor	XP_025006086.1	26.765	3.22e-14	74.7	Gallus gallus	Host Homologue	MULTISPECIES:_tetracycline_efflux_MFS_transporter_Tet(B)_[Proteobacteria]	GCF_000221945.2	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.431868	Non-Adhesin	NON-ANTIGEN
WP_001181005	COG0051	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10340482	57.143	4e-36	117	Essential	11766.6	10.5424	0.472	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	XP_428540.3	28.713	8.05e-11	55.5	Gallus gallus	Host Homologue	MULTISPECIES:_30S_ribosomal_protein_S10_[Bacteria]	GCF_000221945.2	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.276137	Non-Adhesin	NON-ANTIGEN
WP_001284954	COG0640	K	K	INFORMATION_STORAGE_AND_PROCESSING	Transcription	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	25296.21	8.7101	0.251	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_winged_helix-turn-helix_domain-containing_protein_[Proteobacteria]	GCF_000221945.2	Avibacterium	Negative	Avibacterium_paragallinarum	Unknown	Unknown	OTHER	0.327201	Non-Adhesin	NON-ANTIGEN
WP_004235553	COG3039	X	X	CELLULAR_PROCESSES_AND_SIGNALING	Mobilome:_prophages,_transposons	GLOB	1	0	0	0	0	0	DEG10570415	45.302	3.1e-84	256	Essential	35073.89	10.6557	0.452	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_IS5_family_transposase_[Proteobacteria]	GCF_000221945.2	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.279191	Non-Adhesin	NON-ANTIGEN
