ID	Host	Host.Homologue	Host.IdentityPercent	Host.Evalue	Host.Bitscore	Host_Homologue_Result_All	Virulence.Homologue	Virulence.IdentityPercent	Virulence.Evalue	Virulence.Bitscore	VirulenceFactor	COG_ID	COG_categories	COG	General_Functional_Category	COG_category_description	Type_of_Protein	Inside_cell_or_cytosol	Periplasm	Outside_cell	Beta_sheet_TM	Alpha_helix_TM	SignalPeptideNumber	Essential.Homologue	Essential.IdentityPercent	Essential.Evalue	Essential.Bitscore	EssentialProtein	MW	Isoelectric_Point	Inclussion_Bodies_Probability	Isoelectric_Point2	MW2	Description	Strain	Mean_Schneider_Entropy	Strain_count	Cluster_Number	Conservation	Conservation_Results	SubcellularLocalization	Bacteria	Genus	Gram_Stain	Exposition	SignalPeptide	AdhesinProbability	AdhesinProbability2	AntigenicityResult
AgProtect_1	Bos_taurus;Capra_aegagrus_hircus;Equus_ferus_caballus;Homo_sapiens;Mus_musculus;Ovis_orientalis_aries	XP_005227133.1;-;XP_001496732.1;NP_005116.1;NP_058588.1;-	28.105;-;29.412;29.53;30.328;-	5.95e-08;-;1.73e-08;9.45e-09;2.21e-07;-	52.4;-;53.9;55.5;51.2;-	Host Homologue and Non Host Homologue, depending on the Host	VFG001868(gb|WP_010948054)	39.306	1.83E-31	111	Probable Virulence Factor	COG2032	P	P	METABOLISM	Inorganic_ion_transport_and_metabolism	SP	0	0	1	0	0	1	-	-	-	-	Non Essential	18130.67	6.7197	0.204	< 8	< 50 kDa	WP_002972093.1_MULTISPECIES:_superoxide_dismutase_[Cu-Zn]_[Brucella]	Experimental_Antigens	0	95	0	1	-	Periplasmic	Brucella_abortus	Brucella	Negative	Inside the cell	SP	-	Unknown	ANTIGEN
AgProtect_10	Bos_taurus;Capra_aegagrus_hircus;Homo_sapiens;Ovis_orientalis_aries	NP_001039801.1;XP_005684666.2;NP_060762.3;XP_004011284.2	37.022;37.022;35.341;37.022	1.66e-91;3.49e-93;2.69e-93;3.01e-93	289;293;295;294	Host Homologue	VFG049158(gb|WP_001297937)	31.004	4.99E-17	83.6	Probable Virulence Factor	COG0154	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10140068	29.797	3.31E-48	171	Essential	53063.58	5.7993	0.295	< 8	50-100 kDa	YP_219703.1_aspartyl/glutamyl-tRNA_amidotransferase_subunit_A_[Chlamydophila_abortus_S26/3]	Experimental_Antigens	0	95	0	1	-	Cytoplasmic	Chlamydophila_abortus	Chlamydophila	Negative	Inside the cell	OTHER	-	Unknown	ANTIGEN
AgProtect_100	Bos_taurus;Capra_aegagrus_hircus;Equus_ferus_caballus;Homo_sapiens;Mus_musculus;Ovis_orientalis_aries	-;-;-;-;-;-	-;-;-;-;-;-	-;-;-;-;-;-	-;-;-;-;-;-	Non Host Homologue	-	-	-	-	Non Virulence Factor	-	-	-	-	-	SP	0	0	1	0	0	1	-	-	-	-	Non Essential	17603.75	8.7121	0.025	> 8	< 50 kDa	WP_002964998.1_MULTISPECIES:_hypothetical_protein_[Brucella]	Experimental_Antigens	0	95	0	1	-	OuterMembrane	Brucella_abortus	Brucella	Negative	Exposed	LIPO	-	Unknown	ANTIGEN
AgProtect_1000	Bos_taurus	-	-	-	-	Non Host Homologue	-	-	-	-	Non Virulence Factor	-	-	-	-	-	TM	3	0	2	0	4	0	-	-	-	-	Non Essential	77792.96	4.3228	0.31	< 8	50-100 kDa	|tr|B9KIE7|B9KIE7_ANAMF_Major_surface_protein_1a_(MSP1A)_OS=Anaplasma_marginale_(strain_Florida)_OX=320483_GN=msp1a_PE=4_SV=1	Experimental_Antigens	0	95	0	1	-	CytoplasmicMembrane	Anaplasma_marginale	Anaplasma	Negative	Inside the cell	OTHER	-	Unknown	ANTIGEN
AgProtect_1001	Homo_sapiens	-	-	-	-	Non Host Homologue	VFG007268(gb|WP_005480856)	36.517	7.3E-22	101	Probable Virulence Factor	COG1629	P	P	METABOLISM	Inorganic_ion_transport_and_metabolism	BETA	0	12	11	22	0	1	DEG10050352	32.465	2.35E-127	408	Essential	110832.94	8.7402	0.174	> 8	> 100 kDa	|tr|D5V9Y8|D5V9Y8_MORCB_Lactoferrin_binding_protein_A_LbpA_OS=Moraxella_catarrhalis_(strain_BBH18)_OX=1236608_GN=lbpA_PE=3_SV=1	Experimental_Antigens	0	95	0	1	-	OuterMembrane	Moraxella_catarrhalis	Moraxella	Negative	Exposed	SP	-	Unknown	ANTIGEN
AgProtect_1002	Homo_sapiens	-	-	-	-	Non Host Homologue	-	-	-	-	Non Virulence Factor	COG1452	M	M	CELLULAR_PROCESSES_AND_SIGNALING	Cell_wall/membrane/envelope_biogenesis	BETA	0	14	13	26	0	1	DEG10560016	25.835	5.71E-54	201	Essential	104032.73	6.772	0.27	< 8	> 100 kDa	|tr|D5VCH6|D5VCH6_MORCB_LPS-assembly_protein_LptD_OS=Moraxella_catarrhalis_(strain_BBH18)_OX=1236608_GN=lptD_PE=3_SV=1	Experimental_Antigens	0	95	0	1	-	OuterMembrane	Moraxella_catarrhalis	Moraxella	Negative	Exposed	SP	-	Unknown	ANTIGEN
AgProtect_1003	Homo_sapiens	-	-	-	-	Non Host Homologue	-	-	-	-	Non Virulence Factor	COG3857	L	L	INFORMATION_STORAGE_AND_PROCESSING	Replication,_recombination_and_repair	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	120336.47	5.612	0.439	< 8	> 100 kDa	|tr|E1QZJ9|E1QZJ9_OLSUV_ATP-dependent_nuclease_subunit_B_OS=Olsenella_uli_(strain_ATCC_49627_/_DSM_7084_/_CIP_109912_/_JCM_12494_/_NCIMB_702895_/_VPI_D76D-27C)_OX=633147_GN=Olsu_0699_PE=4_SV=1	Experimental_Antigens	0	95	0	1	-	Cytoplasmic	Olsenella_uli	Olsenella	Positive	Inside the cell	OTHER	-	Unknown	ANTIGEN
AgProtect_1004	Equus_ferus_caballus;Homo_sapiens	-;-	-;-	-;-	-;-	Non Host Homologue	VFG043448(gb|NP_216353)	71.389	0	1065	Probable Virulence Factor	COG2225	C	C	METABOLISM	Energy_production_and_conversion	GLOB	1	0	0	0	0	0	DEG10590128	72.268	0	1064	Essential	78946.81	4.645	0.692	< 8	50-100 kDa	|tr|E9T0D6|E9T0D6_RHOHA_Malate_synthase_G_OS=Rhodococcus_hoagii=Prescottella_equi=Rhodococcus_equi_ATCC_33707_OX=525370_GN=glcB_PE=3_SV=1_	Experimental_Antigens	0	95	0	1	-	Cytoplasmic	Prescottella_equi	Prescottella	Positive_with_OM	Inside the cell	OTHER	-	Unknown	NON-ANTIGEN
AgProtect_1005	Bos_taurus;Canis_familiaris;Equus_ferus_caballus;Homo_sapiens;Ovis_orientalis_aries	-;-;-;-;-	-;-;-;-;-	-;-;-;-;-	-;-;-;-;-	Non Host Homologue	VFG045393(gb|WP_020848772)	76.623	9.27E-28	103	Probable Virulence Factor	-	-	-	-	-	BETA	0	4	3	6	0	1	-	-	-	-	Non Essential	30270.24	5.6062	0.306	< 8	< 50 kDa	|tr|F5GUL7|F5GUL7_ANAPZ_p44-47_outer_membrane_protein,_silent_(Fragment)_OS=Anaplasma_phagocytophilum_(strain_HZ)_OX=212042_GN=p44-47_PE=4_SV=1	Experimental_Antigens	0	95	0	1	-	Unknown	Anaplasma_phagocytophilum	Anaplasma	Negative	Unknown	OTHER	-	Unknown	ANTIGEN
AgProtect_1007	Capra_aegagrus_hircus;Ovis_orientalis_aries	-;-	-;-	-;-	-;-	Non Host Homologue	VFG016556(gb|WP_011949863)	48.361	4.48E-40	140	Probable Virulence Factor	-	-	-	-	-	SP	0	0	1	0	0	1	-	-	-	-	Non Essential	25487.88	9.2158	0.121	> 8	< 50 kDa	|tr|F5HEE7|F5HEE7_MYCAP_Variable_surface_lipoprotein_U_(VpmaUprecursor)_OS=Mycoplasmopsis_agalactiae_(strain_NCTC_10123_/_CIP_59.7_/_PG2)_OX=347257_GN=vpmaU_PE=4_SV=1	Experimental_Antigens	0	95	0	1	-	Unknown	Mycoplasmopsis_agalactiae	Mycoplasmopsis	Negative_without_OM	Unknown	LIPO	-	Unknown	ANTIGEN
AgProtect_1008	Homo_sapiens	NP_689880.1	29.87	1.12E-14	73.9	Host Homologue	-	-	-	-	Non Virulence Factor	COG1011	H	H	METABOLISM	Coenzyme_transport_and_metabolism	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	30130.41	4.6785	0.697	< 8	< 50 kDa	|tr|F9DWI6|F9DWI6_9BACL_HAD_superfamily_hydrolase_OS=Sporosarcina_newyorkensis_2681_OX=1027292_GN=HMPREF9372_3167_PE=3_SV=1	Experimental_Antigens	0	95	0	1	-	Cytoplasmic	Sporosarcina_newyorkensis	Sporosarcina	Positive	Inside the cell	OTHER	-	Unknown	NON-ANTIGEN
AgProtect_1009	Canis_familiaris;Homo_sapiens	-;-	-;-	-;-	-;-	Non Host Homologue	VFG006785(gb|WP_011702965)	30.328	8.29E-53	187	Probable Virulence Factor	COG4166	E	E	METABOLISM	Amino_acid_transport_and_metabolism	SP	0	0	1	0	0	1	DEG10110050	25.16	1.26E-26	112	Essential	61125.81	6.6738	0.241	< 8	50-100 kDa	|tr|G0ISH0|G0ISH0_BORAP_Bacterial_extracellular_solute-binding_s,_5_Middle_family_protein_OS=Borreliella_afzelii_(strain_PKo)_OX=390236_GN=BafPKo_B0015_PE=4_SV=1	Experimental_Antigens	0	95	0	1	-	Periplasmic	Borreliella_afzelii	Borreliella	Negative	Inside the cell	LIPO	-	Unknown	ANTIGEN
AgProtect_101	Bos_taurus;Capra_aegagrus_hircus;Equus_ferus_caballus;Homo_sapiens;Mus_musculus;Ovis_orientalis_aries	-;-;-;-;-;-	-;-;-;-;-;-	-;-;-;-;-;-	-;-;-;-;-;-	Non Host Homologue	VFG015406(gb|WP_011167349)	29.412	0.000000125	50.1	Probable Virulence Factor	COG2885	M	M	CELLULAR_PROCESSES_AND_SIGNALING	Cell_wall/membrane/envelope_biogenesis	SP	0	0	1	0	0	1	DEG10030351	35.484	3.62E-28	102	Essential	18232.52	10.2372	0.136	> 8	< 50 kDa	WP_002966947.1_MULTISPECIES:_hypothetical_protein_[Brucella]	Experimental_Antigens	0	95	0	1	-	OuterMembrane	Brucella_abortus	Brucella	Negative	Exposed	LIPO	-	Unknown	ANTIGEN
AgProtect_1010	Canis_familiaris;Homo_sapiens	-;-	-;-	-;-	-;-	Non Host Homologue	-	-	-	-	Non Virulence Factor	-	-	-	-	-	GLOB	0	0	1	0	0	0	-	-	-	-	Non Essential	90538.78	4.6102	0.47	< 8	50-100 kDa	|tr|G0ITS4|G0ITS4_BORAP_Outer_surface_protein_VlsE_OS=Borreliella_afzelii_(strain_PKo)_OX=390236_GN=BafPKo_AC0020_PE=4_SV=1	Experimental_Antigens	0	95	0	1	-	Unknown	Borreliella_afzelii	Borreliella	Negative	Unknown	OTHER	-	Unknown	ANTIGEN
AgProtect_1011	Bos_taurus;Canis_familiaris;Equus_ferus_caballus;Homo_sapiens;Sus_scrofa	-;-;-;-;-	-;-;-;-;-	-;-;-;-;-	-;-;-;-;-	Non Host Homologue	-	-	-	-	Non Virulence Factor	-	-	-	-	-	BETA	0	5	4	8	0	1	-	-	-	-	Non Essential	33491.11	9.0714	0.088	> 8	< 50 kDa	|tr|G1UB30|G1UB30_LEPIN_OmpL1_OS=Leptospira_interrogans_serogroup_Icterohaemorrhagiae_serovar_Lai_(strain_56601)_OX=189518_GN=LA_3138_PE=4_SV=1	Experimental_Antigens	0	95	0	1	-	Unknown	Leptospira_interrogans	Leptospira	Negative	Unknown	SP	-	Unknown	ANTIGEN
AgProtect_1012	Bos_taurus;Canis_familiaris;Equus_ferus_caballus;Homo_sapiens	-;-;-;-	-;-;-;-	-;-;-;-	-;-;-;-	Non Host Homologue	-	-	-	-	Non Virulence Factor	-	-	-	-	-	SP	0	0	1	0	0	1	-	-	-	-	Non Essential	36258.11	8.6989	0.234	> 8	< 50 kDa	|tr|G5IXI6|G5IXI6_BORBU_Variable_large_protein_OS=Borreliella_burgdorferi_(strain_ATCC_35210_/_DSM_4680_/_CIP_102532_/_B31)_OX=224326_GN=BB_F0041_PE=4_SV=1	Experimental_Antigens	0	95	0	1	-	OuterMembrane	Borreliella_burgdorferi	Borreliella	Negative	Exposed	LIPO	-	Unknown	ANTIGEN
AgProtect_1013	Bos_taurus;Capra_aegagrus_hircus;Homo_sapiens;Ovis_orientalis_aries	-;-;-;-	-;-;-;-	-;-;-;-	-;-;-;-	Non Host Homologue	VFG042608(gb|NP_459033)	32.314	2.44E-25	100	Probable Virulence Factor	COG1651	O	O	CELLULAR_PROCESSES_AND_SIGNALING	Posttranslational_modification,_protein_turnover,_chaperones	SP	0	0	1	0	0	1	-	-	-	-	Non Essential	27625.6	9.5301	0.248	> 8	< 50 kDa	|tr|H7C7D7|H7C7D7_COXBU_Outer_membrane_protein_OS=Coxiella_burnetii_(strain_RSA_493_/_Nine_Mile_phase_I)_OX=227377_GN=com1_PE=4_SV=1	Experimental_Antigens	0	95	0	1	-	Unknown	Coxiella_burnetii	Coxiella	Negative	Unknown	SP	-	Unknown	NON-ANTIGEN
AgProtect_1014	Bos_taurus;Canis_familiaris;Equus_ferus_caballus;Homo_sapiens	-;-;-;-	-;-;-;-	-;-;-;-	-;-;-;-	Non Host Homologue	VFG006785(gb|WP_011702965)	31.006	1.36E-54	192	Probable Virulence Factor	COG4166	E	E	METABOLISM	Amino_acid_transport_and_metabolism	SP	0	0	1	0	0	1	DEG10450345	25.605	9.06E-29	119	Essential	60766.36	6.3469	0.223	< 8	50-100 kDa	|tr|H7C7K8|H7C7K8_BORBU_Oligopeptide_ABC_transporter_OppAIV_OS=Borreliella_burgdorferi_(strain_ATCC_35210_/_DSM_4680_/_CIP_102532_/_B31)_OX=224326_GN=oppAIV_PE=1_SV=1	Experimental_Antigens	0	95	0	1	-	Periplasmic	Borreliella_burgdorferi	Borreliella	Negative	Inside the cell	LIPO	-	Unknown	ANTIGEN
AgProtect_1015	Bos_taurus;Canis_familiaris;Equus_ferus_caballus;Homo_sapiens	-;-;-;-	-;-;-;-	-;-;-;-	-;-;-;-	Non Host Homologue	-	-	-	-	Non Virulence Factor	-	-	-	-	-	SP	0	0	1	0	0	1	-	-	-	-	Non Essential	19570.23	5.8758	0.329	< 8	< 50 kDa	|tr|H7C7N5|H7C7N5_BORBU_ErpA8_protein_OS=Borreliella_burgdorferi_(strain_ATCC_35210_/_DSM_4680_/_CIP_102532_/_B31)_OX=224326_GN=erpA8_PE=4_SV=1	Experimental_Antigens	0	95	0	1	-	Unknown	Borreliella_burgdorferi	Borreliella	Negative	Unknown	LIPO	-	Unknown	ANTIGEN
AgProtect_1016	Bos_taurus;Canis_familiaris;Equus_ferus_caballus;Homo_sapiens	-;-;-;-	-;-;-;-	-;-;-;-	-;-;-;-	Non Host Homologue	-	-	-	-	Non Virulence Factor	-	-	-	-	-	BETA	0	12	11	22	0	1	-	-	-	-	Non Essential	68171.98	6.0743	0.165	< 8	50-100 kDa	|tr|H7C7N8|H7C7N8_BORBU_Integral_outer_membrane_protein_P66_OS=Borreliella_burgdorferi_(strain_ATCC_35210_/_DSM_4680_/_CIP_102532_/_B31)_OX=224326_GN=p66_PE=4_SV=1	Experimental_Antigens	0	95	0	1	-	OuterMembrane	Borreliella_burgdorferi	Borreliella	Negative	Exposed	SP	-	Unknown	ANTIGEN
AgProtect_1017	Bos_taurus;Capra_aegagrus_hircus;Ovis_orientalis_aries	-;-;-	-;-;-	-;-;-	-;-;-	Non Host Homologue	-	-	-	-	Non Virulence Factor	-	-	-	-	-	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	33671.27	4.7051	0.595	< 8	< 50 kDa	|sp|I3NID5|ENCP2_MYCPA_Type_2A_encapsulin_shell_protein_OS=Mycolicibacterium_paratuberculosis_(strain_ATCC_BAA-968_/_K-10)_OX=262316_GN=enc2_PE=1_SV=1	Experimental_Antigens	0	95	0	1	-	CytoplasmicMembrane	Mycolicibacterium_paratuberculosis	Mycolicibacterium	Positive_with_OM	Inside the cell	OTHER	-	Unknown	NON-ANTIGEN
AgProtect_1018	Bos_taurus;Capra_aegagrus_hircus;Ovis_orientalis_aries	-;-;-	-;-;-	-;-;-	-;-;-	Non Host Homologue	VFG043446(gb|YP_177849)	74.737	3.62E-84	258	Probable Virulence Factor	-	-	-	-	-	SP	0	0	1	0	0	1	-	-	-	-	Non Essential	36116.26	4.5407	0.024	< 8	< 50 kDa	|tr|I3NIE1|I3NIE1_MYCPA_Alanine_and_proline-rich_secreted_protein_Apa_OS=Mycolicibacterium_paratuberculosis_(strain_ATCC_BAA-968_/_K-10)_OX=262316_GN=modD_PE=3_SV=1	Experimental_Antigens	0	95	0	1	-	Unknown	Mycolicibacterium_paratuberculosis	Mycolicibacterium	Positive_with_OM	Unknown	SP	-	Unknown	ANTIGEN
AgProtect_102	Homo_sapiens	-	-	-	-	Non Host Homologue	VFG045346(gb|WP_011149697)	36.765	8.25E-46	155	Probable Virulence Factor	COG1464	P	P	METABOLISM	Inorganic_ion_transport_and_metabolism	SP	0	0	1	0	0	1	DEG10020025	34.252	3.18E-30	114	Essential	31221.41	4.958	0.518	< 8	< 50 kDa	NP_274940.1_outer_membrane_lipoprotein_[Neisseria_meningitidis_MC58]	Experimental_Antigens	0	95	0	1	-	CytoplasmicMembrane	Neisseria_meningitidis	Neisseria	Negative	Inside the cell	LIPO	-	Unknown	NON-ANTIGEN
AgProtect_1021	Canis_familiaris;Cavia_porcellus;Homo_sapiens;Macaca_fasicularis;Macaca_mulatta;Pan_troglodytes;Sus_scrofa	XP_038428417.1;XP_003467840.1;NP_005460.2;XP_005569243.2;NP_001253017.1;XP_001158053.1;XP_001928924.1	37.979;37.895;36.842;36.491;36.491;36.842;37.544	6.69e-53;1.54e-51;6.82e-51;1.25e-50;1.04e-50;5.62e-51;4.75e-51	176;172;171;170;170;172;171	Host Homologue	-	-	-	-	Non Virulence Factor	COG1946	I	I	METABOLISM	Lipid_transport_and_metabolism	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	31568.75	6.4255	0.445	< 8	< 50 kDa	|tr|I6X4S7|I6X4S7_MYCTU_Probable_acyl-CoA_thioesterase_II_TesB2_(TEII)_OS=Mycobacterium_tuberculosis_(strain_ATCC_25618_/_H37Rv)_OX=83332_GN=tesB2_PE=1_SV=1	Experimental_Antigens	0	95	0	1	-	Cytoplasmic	Mycobacterium_tuberculosis	Mycobacterium	Positive_with_OM	Inside the cell	OTHER	-	Unknown	ANTIGEN
