ID	PSSM-Id	CD_short_name	CD_description	COG_IdentityPercent	COG.Evalue	COG.Bitscore	COG	COG_category	COG_category_u	COG_color	COG_category_description	Type_of_Protein	Inside_cell_or_cytosol	Periplasm	Outside_cell	Beta_sheet_TM	Alpha_helix_TM	SignalPeptideNumber	Essential.Homologue	Essential.IdentityPercent	Essential.Evalue	Essential.Bitscore	EssentialProtein	MW	Isoelectric_Point	Inclussion_Bodies_Probability	Isoelectric_Point2	MW2	Virulence.Homologue	Virulence.IdentityPercent	Virulence.Evalue	Virulence.Bitscore	VirulenceFactor	Host.Homologue	Host.IdentityPercent	Host.Evalue	Host.Bitscore	Host	Host_Homologue_Result	Description	Strain	Genus	Gram_Stain	SubcellularLocalization	Exposition	SignalPeptide	AdhesinProbability	AdhesinProbability2	AntigenicityResult	Host_Homologue_Result_All	Bacteria	Type_of_Protein2
WP_000088605	224228	AcrR	DNA-binding_transcriptional_regulator,_AcrR_family_[Transcription].	26.582	1.88e-10	55.3	COG1309	K	K	FCDCEC	Transcription	GLOB	1	0	0	0	0	0	DEG10450343	39.904	4.41e-48	156	Essential	23354.68	6.0247	0.681	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_tetracycline_resistance_transcriptional_repressor_TetR(B)_[Bacteria]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.26832	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_000275180	225117	AraC	AraC-type_DNA-binding_domain_and_AraC-containing_proteins_[Transcription].	37.069	2.04e-27	96.1	COG2207	K	K	FCDCEC	Transcription	GLOB	1	0	0	0	0	0	DEG10180257	46.465	1.05e-28	101	Essential	16774.42	10.4224	0.852	> 8	< 50 kDa	VFG000421(gb|WP_002211761)	39.45	5.67e-16	72.4	Probable Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_helix-turn-helix_domain-containing_protein_[Pseudomonadota]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.367815	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_000428546	-	-	-	-	-	-	-	-	-	-	-	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	22746.29	8.6633	0.355	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_tetracyline_resistance-associated_transcriptional_repressor_TetC_[Pseudomonadota]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.526149	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_000460651	-	-	-	-	-	-	-	-	-	-	-	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	13818.06	5.5687	0.594	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_hypothetical_protein_[Pseudomonadota]	GCF_036400455.1	Avibacterium	Negative	CytoplasmicMembrane	Inside the cell	OTHER	0.483378	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_000562370	-	-	-	-	-	-	-	-	-	-	-	GLOB	1	0	0	0	0	0	DEG10470156	32.323	1.4e-13	60.8	Essential	12500.28	6.4841	0.695	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_antibiotic_biosynthesis_monooxygenase_[Pseudomonadota]	GCF_036400455.1	Avibacterium	Negative	Unknown	Unknown	OTHER	0.359432	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_000599533	223857	GltS	Na+/glutamate_symporter_[Amino_acid_transport_and_metabolism].	54.453	2.98e-142	408	COG0786	E	E	DCFCFC	Amino_acid_transport_and_metabolism	TM	5	0	6	0	10	0	-	-	-	-	Non Essential	42717.21	7.9827	0.306	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_sodium/glutamate_symporter_[Pseudomonadota]	GCF_036400455.1	Avibacterium	Negative	CytoplasmicMembrane	Inside the cell	OTHER	0.471665	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	2 or more Alpha helix Transmembrane Steps
WP_001089068	-	-	-	-	-	-	-	-	-	-	-	TM	7	0	6	0	12	0	DEG10450344	40.108	3.44e-80	251	Essential	43237.18	7.4173	0.266	< 8	< 50 kDa	VFG044257(gb|WP_000610051)	25.926	2.24e-07	52.4	Probable Virulence Factor	XP_040555260.1	27.374	1.39e-13	73.6	Gallus gallus	Host Homologue	MULTISPECIES:_tetracycline_efflux_MFS_transporter_Tet(B)_[Pseudomonadota]	GCF_036400455.1	Avibacterium	Negative	CytoplasmicMembrane	Inside the cell	OTHER	0.426273	Non-Adhesin	ANTIGEN	Host Homologue	Avibacterium_paragallinarum	2 or more Alpha helix Transmembrane Steps
WP_001181005	223129	RpsJ	Ribosomal_protein_S10_[Translation,_ribosomal_structure_and_biogenesis].	74.51	2.28e-58	172	COG0051	J	J	FCCCFC	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10340482	57.143	4e-36	117	Essential	11766.6	10.5424	0.472	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	XP_428540.3	28.713	1.12e-10	55.5	Gallus gallus	Host Homologue	MULTISPECIES:_30S_ribosomal_protein_S10_[Bacteria]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.276137	Non-Adhesin	NON-ANTIGEN	Host Homologue	Avibacterium_paragallinarum	Secreted
WP_001339175	-	-	-	-	-	-	-	-	-	-	-	GLOB	1	0	0	0	0	0	DEG10420306	99.254	0	826	Essential	46059.49	10.4452	0.407	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_IS4-like_element_ISVsa5_family_transposase_[Pseudomonadota]	GCF_036400455.1	Avibacterium	Negative	Unknown	Unknown	OTHER	0.3883	Non-Adhesin	ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_005539416	223263	RpsS	Ribosomal_protein_S19_[Translation,_ribosomal_structure_and_biogenesis].	71.429	3.85e-55	163	COG0185	J	J	FCCCFC	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10680076	57.471	7.18e-35	113	Essential	10259.14	11.0087	0.731	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_30S_ribosomal_protein_S19_[Pasteurellaceae]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.215266	Non-Adhesin	ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_005539567	-	-	-	-	-	-	-	-	-	-	-	TM	1	0	2	0	2	0	DEG10290400	62.025	5.71e-30	100	Essential	8655.43	4.5869	0.46	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_F0F1_ATP_synthase_subunit_C_[Pasteurellaceae]	GCF_036400455.1	Avibacterium	Negative	CytoplasmicMembrane	Inside the cell	OTHER	0.473658	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	2 or more Alpha helix Transmembrane Steps
WP_005539760	223308	RpmH	Ribosomal_protein_L34_[Translation,_ribosomal_structure_and_biogenesis].	84.091	2.46e-13	53.8	COG0230	J	J	FCCCFC	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10200108	77.273	3.57e-11	50.4	Essential	5098.04	13.4595	0.28	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_50S_ribosomal_protein_L34_[Pasteurellaceae]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	-	Unknown	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_005542835	223345	RpmG	Ribosomal_protein_L33_[Translation,_ribosomal_structure_and_biogenesis].	58	1.59e-18	67.7	COG0267	J	J	FCCCFC	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10200334	62.963	6.98e-17	65.9	Essential	6548.78	10.9065	0.979	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_50S_ribosomal_protein_L33_[Pasteurellaceae]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.284386	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
