ID	COG_ID	COG_categories	COG	General_Functional_Category	COG_category_description	Type_of_Protein	Inside_cell_or_cytosol	Periplasm	Outside_cell	Beta_sheet_TM	Alpha_helix_TM	SignalPeptideNumber	Essential.Homologue	Essential.IdentityPercent	Essential.Evalue	Essential.Bitscore	EssentialProtein	MW	Isoelectric_Point	Inclussion_Bodies_Probability	Isoelectric_Point2	MW2	Virulence.Homologue	Virulence.IdentityPercent	Virulence.Evalue	Virulence.Bitscore	VirulenceFactor	Host.Homologue	Host.IdentityPercent	Host.Evalue	Host.Bitscore	Host	Host_Homologue_Result	Description	Strain	Genus	Gram_Stain	Bacteria	SubcellularLocalization	Exposition	SignalPeptide	AdhesinProbability	AdhesinProbability2	AntigenicityResult
HBL79_RS00005	COG0759	M	M	CELLULAR_PROCESSES_AND_SIGNALING	Cell_wall/membrane/envelope_biogenesis	GLOB	1	0	0	0	0	0	DEG10560959	65.385	1.39e-18	72	Essential	8833.48	8.853	0.312	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	yidD_membrane_protein_insertion_efficiency_factor_YidD_386953:387319_reverse_MW:8833	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Unknown	Unknown	OTHER	0.339748	Non-Adhesin	ANTIGEN
HBL79_RS00010	COG0594	AJ	A	INFORMATION_STORAGE_AND_PROCESSING	RNA_processing_and_modification	GLOB	1	0	0	0	0	0	DEG10670002	53.571	5.16e-35	116	Essential	14237.64	11.8281	0.883	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	rnpA_ribonuclease_P_protein_component_387283:387642_reverse_MW:14237	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Unknown	Unknown	OTHER	0.417352	Non-Adhesin	NON-ANTIGEN
HBL79_RS00015	COG0230	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10200108	77.273	3.57e-11	50.4	Essential	5098.04	13.4595	0.28	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	rpmH_50S_ribosomal_protein_L34_387657:387791_reverse_MW:5098	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	-	Unknown	NON-ANTIGEN
HBL79_RS00020	COG0593	L	L	INFORMATION_STORAGE_AND_PROCESSING	Replication,_recombination_and_repair	GLOB	1	0	0	0	0	0	DEG10140001	31.609	3.28e-38	144	Essential	51622.06	8.7826	0.358	> 8	50-100 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	dnaA_chromosomal_replication_initiator_protein_DnaA_388151:389515_forward_MW:51622	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.331576	Non-Adhesin	NON-ANTIGEN
HBL79_RS00025	COG0592	L	L	INFORMATION_STORAGE_AND_PROCESSING	Replication,_recombination_and_repair	GLOB	1	0	0	0	0	0	DEG10390225	25.067	1.15e-29	117	Essential	41209.06	4.6679	0.667	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	dnaN_DNA_polymerase_III_subunit_beta_389527:390627_forward_MW:41209	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.434701	Non-Adhesin	NON-ANTIGEN
HBL79_RS00030	COG1195	L	L	INFORMATION_STORAGE_AND_PROCESSING	Replication,_recombination_and_repair	GLOB	1	0	0	0	0	0	DEG10270003	25.21	6.95e-26	106	Essential	41324.89	7.9907	0.338	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	recF_DNA_replication/repair_protein_RecF_390632:391708_forward_MW:41325	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.347258	Non-Adhesin	NON-ANTIGEN
HBL79_RS00035	COG1738	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	TM	4	0	3	0	6	0	DEG10300002	54.639	8.86e-71	214	Essential	26430.48	9.6585	0.312	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	HBL79_RS00035_7-cyano-7-deazaguanine/7-aminomethyl-7-_deazaguanine_transporter_391722:392414_reverse_MW:26430	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.397873	Non-Adhesin	NON-ANTIGEN
HBL79_RS00040	COG1381	L	L	INFORMATION_STORAGE_AND_PROCESSING	Replication,_recombination_and_repair	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	25975.19	9.4018	0.289	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	recO_DNA_repair_protein_RecO_392685:393368_forward_MW:25975	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.381743	Non-Adhesin	NON-ANTIGEN
HBL79_RS00045	COG2265	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10020215	29.083	2.08e-53	184	Essential	50116.05	8.7511	0.323	> 8	50-100 kDa	-	-	-	-	Non Virulence Factor	XP_046796924.1	25.333	3.3e-10	63.5	Gallus gallus	Host Homologue	rlmD_23S_rRNA_(uracil(1939)-C(5))-methyltransferase_RlmD_393372:394685_forward_MW:50116	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.32189	Non-Adhesin	NON-ANTIGEN
HBL79_RS00050	COG0317	TK	T	CELLULAR_PROCESSES_AND_SIGNALING	Signal_transduction_mechanisms	GLOB	1	0	0	0	0	0	DEG10060231	30.201	7.52e-35	140	Essential	84591.92	6.7576	0.486	< 8	50-100 kDa	VFG022971(gb|WP_041319925)	35.96	3.42e-160	482	Probable Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	relA_GTP_diphosphokinase_394699:396930_forward_MW:84593	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.422139	Non-Adhesin	NON-ANTIGEN
HBL79_RS00055	COG0818	I	I	METABOLISM	Lipid_transport_and_metabolism	TM	2	0	2	0	3	0	DEG10560182	51.818	2.94e-39	127	Essential	12679.1	8.0584	0.341	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	HBL79_RS00055_diacylglycerol_kinase_397027:397383_forward_MW:12679	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.400806	Non-Adhesin	NON-ANTIGEN
HBL79_RS00060	COG0252	JE	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10180443	34.052	1.18e-26	104	Essential	26961.86	6.9112	0.299	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	HBL79_RS00060_asparaginase_397763:398495_reverse_MW:26962	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.495164	Non-Adhesin	NON-ANTIGEN
HBL79_RS00065	COG0697	ER	E	METABOLISM	Amino_acid_transport_and_metabolism	TM	6	0	5	0	10	0	-	-	-	-	Non Essential	32759.56	9.5952	0.164	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	HBL79_RS00065_DMT_family_transporter_398685:399578_reverse_MW:32760	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.38025	Non-Adhesin	NON-ANTIGEN
HBL79_RS00070	COG1539	H	H	METABOLISM	Coenzyme_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10290121	44.737	9.22e-30	102	Essential	13864.06	5.2269	0.824	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	folB_dihydroneopterin_aldolase_399575:399931_reverse_MW:13864	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.309685	Non-Adhesin	NON-ANTIGEN
HBL79_RS00075	COG0344	I	I	METABOLISM	Lipid_transport_and_metabolism	TM	4	0	4	0	7	0	DEG10410380	39.378	1.29e-28	105	Essential	22207.54	10.1282	0.313	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	plsY_glycerol-3-phosphate_1-O-acyltransferase_PlsY_400030:400632_forward_MW:22207	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.320897	Non-Adhesin	NON-ANTIGEN
HBL79_RS00080	COG0242	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10520439	41.667	1.68e-28	103	Essential	19085.31	6.4901	0.614	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	def_peptide_deformylase_400883:401389_reverse_MW:19085	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.381032	Non-Adhesin	NON-ANTIGEN
