ID	Mean_Schneider_Entropy	Strain_count	Cluster_Number	Conservation	Conservation_Results
HBL79_RS00005	0	1	5165	1	Conservation Score > 0.95, less than 120 strains
HBL79_RS00010	0.03025613144443254	95	4415	0.9697438685555675	Conservation Score > 0.95, less than 120 strains
HBL79_RS00015	0	95	5818	1	Conservation Score > 0.95, less than 120 strains
HBL79_RS00020	0.0030600317022038384	88	870	0.9969399682977962	Conservation Score > 0.95, less than 120 strains
HBL79_RS00025	8.546136157720388e-4	88	1421	0.999145386384228	Conservation Score > 0.95, less than 120 strains
HBL79_RS00030	0.010528270006284273	95	1484	0.9894717299937157	Conservation Score > 0.95, less than 120 strains
HBL79_RS00035	0.0017020454568373881	86	2790	0.9982979545431626	Conservation Score > 0.95, less than 120 strains
HBL79_RS00040	0.016119486562415394	95	2702	0.9838805134375846	Conservation Score > 0.95, less than 120 strains
HBL79_RS00045	0.006016864206383234	86	969	0.9939831357936167	Conservation Score > 0.95, less than 120 strains
HBL79_RS00050	0.19456949965116438	96	245	0.8054305003488356	Conservation Score > 0.80, less than 120 strains
HBL79_RS00055	0.0017706630944952558	88	4433	0.9982293369055047	Conservation Score > 0.95, less than 120 strains
HBL79_RS00060	0.04694238904541202	87	1795	0.953057610954588	Conservation Score > 0.95, less than 120 strains
HBL79_RS00065	0.008512441744131554	94	2041	0.9914875582558684	Conservation Score > 0.95, less than 120 strains
HBL79_RS00070	0.0099493997812379	95	4434	0.9900506002187621	Conservation Score > 0.95, less than 120 strains
HBL79_RS00075	0.013363634590029138	95	3069	0.9866363654099709	Conservation Score > 0.95, less than 120 strains
HBL79_RS00080	0.0024021813674076956	88	3663	0.9975978186325923	Conservation Score > 0.95, less than 120 strains
HBL79_RS00085	0.004503814232529467	88	3768	0.9954961857674706	Conservation Score > 0.95, less than 120 strains
HBL79_RS00090	0.013378363777876082	88	3710	0.986621636222124	Conservation Score > 0.95, less than 120 strains
HBL79_RS00095	0.0029194974952859993	87	365	0.997080502504714	Conservation Score > 0.95, less than 120 strains
HBL79_RS00100	0.002363817560569681	85	2028	0.9976361824394303	Conservation Score > 0.95, less than 120 strains
HBL79_RS00105	8.15438954273299e-4	87	1664	0.9991845610457267	Conservation Score > 0.95, less than 120 strains
HBL79_RS00110	0.19566937026611567	94	2029	0.8043306297338844	Conservation Score > 0.80, less than 120 strains
HBL79_RS00115	0.030626349704429578	4	3627	0.9693736502955704	Conservation Score > 0.95, less than 120 strains
HBL79_RS00120	0.0116182508706135	94	48	0.9883817491293865	Conservation Score > 0.95, less than 120 strains
HBL79_RS00125	0.0055257051259472055	92	1410	0.9944742948740528	Conservation Score > 0.95, less than 120 strains
